Label,Confidence,Full Tweet,Sanitized Tweet
pos,1.0,"RT @GlamLifeGuru: Super curious - anyone having the weirdest non “corona” symptoms - insomnia, vivid dreams, weird buzzing anxiety, headach…","super curious anyone weirdest non “corona” symptoms insomnia, vivid dreams, weird buzzing anxiety, headach…"
pos,1.0,"RT @1uan_n: Alright Corona you had your fun, now leave hoe","alright corona fun, leave hoe"
pos,1.0,was gonna make a tweet being angry about corona ruining my love life but let’s be real i’d of probs ruined it by now anyway lol,gonna make tweet angry corona ruining love life let’s real i’d probs ruined anyway lol
neg,1.0,#BailoutHumans Please help us im a single mom of 2 we need help i lost my job due to Corona and were getting kicked out next week bc i cant make rent. SOMEONE PLEASE HELP US! $bbritt31ee we JUST need food and rent PLEASE help us PLEASE https://t.co/Izk9MZLFE9,bailouthumans please help us im single mom 2 need help lost job due corona getting kicked next week bc cant make rent. someone please help us! $bbritt31ee need food rent please help us please
neg,1.0,RT @BigAlStrood: My mum died at 7.25pm this evening. She was 93 years old and had been resident in a care home until the other day when she…,mum died 7.25pm evening. 93 years old resident care home day she…
neg,1.0,"@RedAlienNation @LibertyImplac @IamHansGruber @NotSweetDeeSez @PetiteNicoco Dawg what’re u talking about?? Of course shit changes. My point is the entire “save” argument is stupid. No shit save but there’s a million and one reason why people can’t/won’t move. Even then, some people, atm, can’t save. Especially with this corona shit going on.","dawg what’re u talking about?? course shit changes. point entire “save” argument stupid. shit save there’s million one reason people can’t/won’t move. even then, people, atm, can’t save. especially corona shit going on."
neutral,0.75,getting real SICK and TIRED of seeing people hanging out with their friends bc they are “6 feet apart outside at a park oo ahhh cute they haven’t been anywhere i’m immune whose corona” JUST STAY HOME NO ONE IS THAT IMPORTANT. people are DYING https://t.co/rTJl6Q5cXt,getting real sick tired seeing people hanging friends bc “6 feet apart outside park oo ahhh cute haven’t anywhere i’m immune whose corona” stay home one important. people dying
neutral,0.75,"RT @RobertA21324401: How can this be. We can give 56 million to Maori for  Corona Virus. Yet we can't fund cancer drugs

Here's an article…",be. give 56 million maori corona virus. yet can't fund cancer drugs here's article…
neg,1.0,"RT @MadokaMeowgica: Friend died last night from corona. She was immunocompromised and did everything she was supposed to in a quarantine, b…","friend died last night corona. immunocompromised everything supposed quarantine, b…"
neutral,0.75,RT @vudzijenaj: Ready for battle: someone is lying about this corona..someone is making money .. someone manipulating the system .. someone…,ready battle: someone lying corona..someone making money .. someone manipulating system .. someone…
neg,1.0,"A corona virus situation of Japan.
(22th April)
The number of the dead 277
Infected person 11350

I think that Japan dead may get a few than other countries..
But.. This is sad situation.

Take care!!! https://t.co/1F2x8H8dB0",corona virus situation japan. (22th april) number dead 277 infected person 11350 think japan dead may get countries.. but.. sad situation. take care!!!
neg,1.0,"RT @Alihamideh1988: Dear @NYGovCuomo 
The flu vaccine 💉 didn't eradicate the flu. What makes you think we can eradicate covid19?

Sincerely…",dear flu vaccine 💉 eradicate flu. makes think eradicate covid19? sincerely…
neg,1.0,"RT @TheDailyEdge: President Magicpills is now promising that even though “Corona” didn’t disappear like a miracle in April, it’s definitely…","president magicpills promising even though “corona” didn’t disappear like miracle april, it’s definitely…"
neg,1.0,"RT @GeorgiaLogCabin: #Poll: How will the corona virus situation be in your area in a week or so? Vote &amp; retweet!
#coronavirus #covid19 #cov…",poll: corona virus situation area week so? vote &amp; retweet! coronavirus covid19 cov…
neg,1.0,It's corona time https://t.co/Af2RYGUGjf,corona time
neg,1.0,RT @friendlyghoul: please god let corona end I just wanna go back to disney world,please god let corona end wanna go back disney world
irrelevant,,"RT @SpoiledElla: ""Just because big bad Corona is keeping you inside, doesnt mean you're excused from worshiping your anime Goddesses. Shut…","""just big bad corona keeping inside, doesnt mean excused worshiping anime goddesses. shut…"
pos,1.0,"Perfect idea for those who break lock down to get a first hand feel of what is Corona virus 

A very practical idea 

Absolutely innovative 

Any we are falling short of attendees for corona virus. https://t.co/hKSFEPnXUX",perfect idea break lock get first hand feel corona virus practical idea absolutely innovative falling short attendees corona virus.
irrelevant,,RT @FrankFigliuzzi1: A glimpse of things to come: 19 new cases of coronavirus in Wisconsin linked to election activities: State health offi…,glimpse things come: 19 new cases coronavirus wisconsin linked election activities: state health offi…
neutral,0.75,RT @FrankiLoveMusic: when the corona virus is over..... I won’t be the same person..... I will be more appreciative of everything and every…,corona virus over..... won’t person..... appreciative everything every…
neutral,0.75,"RT @ddale8: Trump claims what we've gone through now won't be repeated. We might have some ""embers"" of corona in the second wave. He says h…","trump claims we've gone repeated. might ""embers"" corona second wave. says h…"
neutral,0.75,@Wu_Tang_Finance In the U.K. the govt is stepping in to pay 80% of anyone’s income that was lost due to corona.  Inc people on 0hr contracts based on what hrs they usually work.  Max of £2500 benefit PCM until the crisis ends. I don’t understand how US can shutdown w/out income support?,u.k. govt stepping pay 80% anyone’s income lost due corona. inc people 0hr contracts based hrs usually work. max £2500 benefit pcm crisis ends. don’t understand us shutdown w/out income support?
neg,1.0,"RT @sehnaoui: Very appropriate analogy:

“The curve is flattening, we can start lifting restrictions now.” 

=

“The parachute has slowed o…","appropriate analogy: “the curve flattening, start lifting restrictions now.” “the parachute slowed o…"
neg,1.0,@otuathail @SimonHarrisTD @ICGPnews Ye making any progress teaching Simon that covid 19 is the year and that there wasn't 18 prior failed attempts at curing corona virus??,ye making progress teaching simon covid 19 year 18 prior failed attempts curing corona virus??
neutral,0.75,RT @_Mansoor_Ali: Prime Minister Imran Khan and US President Donald Trump hold telephonic conversation on Corona Virus,prime minister imran khan us president donald trump hold telephonic conversation corona virus
pos,1.0,@Stats_Alerts @funder I See America is the World Leader In Corona virus Deaths. Is This Another Of The Orange Idiots America 1st Crap. Is This What He Calls WINNING. Well Come 11/3/20 We Need To VOTE HIM OUT And Hold Him Accountable For EVERY CRIMINAL ACT HES COMMITTED. Enough Already IMPRISON IQ45,see america world leader corona virus deaths. another orange idiots america 1st crap. calls winning. well come 11/3/20 need vote hold accountable every criminal act hes committed. enough already imprison iq45
pos,1.0,"RT @GlamLifeGuru: Super curious - anyone having the weirdest non “corona” symptoms - insomnia, vivid dreams, weird buzzing anxiety, headach…","super curious anyone weirdest non “corona” symptoms insomnia, vivid dreams, weird buzzing anxiety, headach…"
neg,1.0,Fauci just said we Will HAVE CORONA IN THE FALL,fauci said corona fall
neg,1.0,RT @OscartheQ1: We had a Corona Virus Dog Vaccine in 2001! I'll take that one over Gate's vaccine. https://t.co/k3SjWzZzht,corona virus dog vaccine 2001! i'll take one gate's vaccine.
