Label,Confidence,Full Tweet,Sanitized Tweet
neutral,0.75,"RT @DeanObeidallah: @realDonaldTrump Hey GOP Georgia Gov Brian ""opening state early"" Kemp- here is your future: ""Beijing city shuts down gy…","hey gop georgia gov brian ""opening state early"" kemp- future: ""beijing city shuts gy…"
neg,1.0,"RT @PalmerReport: Donald Trump's day so far:

- Forces Dr. Redfield to pretend he didn't say what he said
- Throws Georgia Governor Brian K…",donald trump's day far: forces dr. redfield pretend say said throws georgia governor brian k…
neg,1.0,"RT @PalmerReport: Trump is now throwing his own guy, Georgia Governor Brian Kemp, under the bus. Did Kemp not see this coming? Trump always…","trump throwing guy, georgia governor brian kemp, bus. kemp see coming? trump always…"
neutral,0.75,RT @BrennaSimonSays: @GovKemp @GeorgiaDOL The REAL reason Kemp is reopening Georgia https://t.co/k9eGbv3ERh,real reason kemp reopening georgia
neg,1.0,"RT @mog7546: WATCH

Dr. Fauci pours cold water on opening of #Georgia by GOP governor

#Fauci made it clear he opposed the decision from Go…",watch dr. fauci pours cold water opening georgia gop governor fauci made clear opposed decision go…
neg,1.0,RT @_Dee_Aye: Ain't no way Trump told Kemp not to reopen Georgia. 😂😂😭,ain't way trump told kemp reopen georgia. 😂😂😭
neg,1.0,"RT @PalmerReport: Donald Trump's day so far:

- Forces Dr. Redfield to pretend he didn't say what he said
- Throws Georgia Governor Brian K…",donald trump's day far: forces dr. redfield pretend say said throws georgia governor brian k…
pos,1.0,RT @WSJ: President Trump said he told Georgia Gov. Brian Kemp that he disagrees “strongly” with his decision to open facilities like tattoo…,president trump said told georgia gov. brian kemp disagrees “strongly” decision open facilities like tattoo…
pos,1.0,"RT @briantylercohen: Gotta love Kemp re-opening Georgia to pander to Trump whose been desperately lobbying states to re-open, only to have…","gotta love kemp re-opening georgia pander trump whose desperately lobbying states re-open, have…"
pos,1.0,"RT @Yamiche: Wow.

President Trump says he told Georgia Gov Kemp he disagrees ""very strongly"" with his decision to reopen portions of the s…","wow. president trump says told georgia gov kemp disagrees ""very strongly"" decision reopen portions s…"
pos,1.0,"RT @Yamiche: Wow.

President Trump says he told Georgia Gov Kemp he disagrees ""very strongly"" with his decision to reopen portions of the s…","wow. president trump says told georgia gov kemp disagrees ""very strongly"" decision reopen portions s…"
neutral,0.75,@ChloeSalsameda @OANN Good for Gov. Kemp! Good for Georgia!,good gov. kemp! good georgia!
pos,1.0,"RT @briantylercohen: Gotta love Kemp re-opening Georgia to pander to Trump whose been desperately lobbying states to re-open, only to have…","gotta love kemp re-opening georgia pander trump whose desperately lobbying states re-open, have…"
neg,1.0,"RT @MadisonKittay: David Scatino thought Tony Soprano wouldn't turn on him, either.

Trump reverses course, says 'too soon' for Georgia Gov…","david scatino thought tony soprano turn him, either. trump reverses course, says 'too soon' georgia gov…"
neg,1.0,"RT @mog7546: WATCH

Dr. Fauci pours cold water on opening of #Georgia by GOP governor

#Fauci made it clear he opposed the decision from Go…",watch dr. fauci pours cold water opening georgia gop governor fauci made clear opposed decision go…
neg,1.0,RT @HKrassenstein: BREAKING: President Trump just called Stacey Abrams a “him” when referring to her run against Brian Kemp for Georgia Gov…,breaking: president trump called stacey abrams “him” referring run brian kemp georgia gov…
pos,1.0,"RT @briantylercohen: Gotta love Kemp re-opening Georgia to pander to Trump whose been desperately lobbying states to re-open, only to have…","gotta love kemp re-opening georgia pander trump whose desperately lobbying states re-open, have…"
pos,1.0,"RT @morethanmySLE: WOW. Andrea Mitchell just asked Savannah, Georgia Mayor  Johnson if he has spoken with Governor Kemp since he made this…","wow. andrea mitchell asked savannah, georgia mayor johnson spoken governor kemp since made this…"
neg,1.0,"RT @PalmerReport: Donald Trump's day so far:

- Forces Dr. Redfield to pretend he didn't say what he said
- Throws Georgia Governor Brian K…",donald trump's day far: forces dr. redfield pretend say said throws georgia governor brian k…
neg,1.0,"RT @atrupar: Trump says he told Georgia Gov. Kemp that he disagrees with his move to reopen businesses as soon as this Friday, but adds tha…","trump says told georgia gov. kemp disagrees move reopen businesses soon friday, adds tha…"
neg,1.0,"RT @christianllamar: Fauci is such a liar. 
He said many times 
“ We’ve never done this before. “ 
So how does he know what will happen whe…",fauci liar. said many times “ we’ve never done before. “ know happen whe…
neutral,0.75,RT @amandacarpenter: Dr. Sanjay Gupta flatly says that Georgia Gov. Kemp’s decision to reopen the state is a public health mistake.,dr. sanjay gupta flatly says georgia gov. kemp’s decision reopen state public health mistake.
neg,1.0,"RT @PalmerReport: Trump is now throwing his own guy, Georgia Governor Brian Kemp, under the bus. Did Kemp not see this coming? Trump always…","trump throwing guy, georgia governor brian kemp, bus. kemp see coming? trump always…"
pos,1.0,"RT @Reuters: Trump said he told Georgia Governor Brian Kemp he disagreed with his plan for certain businesses, saying it was too soon for s…","trump said told georgia governor brian kemp disagreed plan certain businesses, saying soon s…"
neg,1.0,@thehill I support GOV Kemp! Most Georgia citizens can behave responsibly without democrat supervision.,support gov kemp! georgia citizens behave responsibly without democrat supervision.
neg,1.0,"RT @Asweetdiversion: Omg, our local news stations in Georgia are going bat shit crazy with headlines on Trump backstabbing Kemp at this pre…","omg, local news stations georgia going bat shit crazy headlines trump backstabbing kemp pre…"
neg,1.0,RT @DailyCaller: ‘Too Soon’: Trump Criticizes Republican Georgia Gov. Brian Kemp For Reopening State Too Quickly https://t.co/KD2vN1YuBG,‘too soon’: trump criticizes republican georgia gov. brian kemp reopening state quickly
pos,1.0,"RT @Yamiche: Wow.

President Trump says he told Georgia Gov Kemp he disagrees ""very strongly"" with his decision to reopen portions of the s…","wow. president trump says told georgia gov kemp disagrees ""very strongly"" decision reopen portions s…"
neg,1.0,RT @morethanmySLE: Dr. Fauci at #COVID19 press conference when asked about  Governor Kemp's re-opening Georgia: I would ADVISE him to proce…,dr. fauci covid19 press conference asked governor kemp's re-opening georgia: would advise proce…
neg,1.0,RT @businessinsider: Trump: 'I disagree strongly' with Georgia Gov. Brian Kemp's decision to reopen businesses in his state https://t.co/Dq…,trump: 'i disagree strongly' georgia gov. brian kemp's decision reopen businesses state
neutral,0.75,"RT @CherylBlueWave: ""I don't give a damn about politics right now."" @GovKemp

Today, Trump and Pence called to praise him for being such a…","""i give damn politics right now."" today, trump pence called praise a…"
pos,1.0,Trump says he 'totally disagrees' with Georgia Gov. Kemp's decision to reopen businesses in the middle of coronavirus pandemic https://t.co/T5a38o9fqi,trump says 'totally disagrees' georgia gov. kemp's decision reopen businesses middle coronavirus pandemic
neg,1.0,RT @ktbenner: Pres Trump has backed himself into a rhetorical position where he both publicly disagrees with Georgia Gov. Kemp's decision t…,pres trump backed rhetorical position publicly disagrees georgia gov. kemp's decision t…
neg,1.0,RT @HKrassenstein: BREAKING: President Trump just called Stacey Abrams a “him” when referring to her run against Brian Kemp for Georgia Gov…,breaking: president trump called stacey abrams “him” referring run brian kemp georgia gov…
neg,1.0,"RT @GAFollowers: This Georgia doctor is FURIOUS with Governor Kemp's decision to reopen the state. 
https://t.co/V1ZiPT3v9a",georgia doctor furious governor kemp's decision reopen state.
