Label,Confidence,Full Tweet,Sanitized Tweet
neutral,0.75,"Wow is right.

Maybe Kemp is trying to disenfranchise black people by killing them. https://t.co/bOi8UdhFkw",wow right. maybe kemp trying disenfranchise black people killing them.
pos,1.0,"""I told the governor of #Georgia, Brian Kemp, that I disagree strongly with his decision to open certain facilities which are in violation of the phase one guidelines for the incredible people of Georgia,"" the president said. #fox5atl #COVID19 #coronavirus https://t.co/eqnBM0e1pJ","""i told governor georgia, brian kemp, disagree strongly decision open certain facilities violation phase one guidelines incredible people georgia,"" president said. fox5atl covid19 coronavirus"
neg,1.0,RT @chrislhayes: They're absolutely cutting Kemp off at the knees. You hate to see it.,they're absolutely cutting kemp knees. hate see it.
pos,1.0,"RT @Yamiche: Wow.

President Trump says he told Georgia Gov Kemp he disagrees ""very strongly"" with his decision to reopen portions of the s…","wow. president trump says told georgia gov kemp disagrees ""very strongly"" decision reopen portions s…"
pos,1.0,"RT @Yamiche: Wow.

President Trump says he told Georgia Gov Kemp he disagrees ""very strongly"" with his decision to reopen portions of the s…","wow. president trump says told georgia gov kemp disagrees ""very strongly"" decision reopen portions s…"
irrelevant,,RT @LindseyGrahamSC: I agree with President @realDonaldTrump’s concern about Georgia going ‘too far too fast’ with business re-openings.…,agree president concern georgia going ‘too far fast’ business re-openings.…
neg,1.0,RT @ktbenner: Pres Trump has backed himself into a rhetorical position where he both publicly disagrees with Georgia Gov. Kemp's decision t…,pres trump backed rhetorical position publicly disagrees georgia gov. kemp's decision t…
neg,1.0,RT @AdamParkhomenko: How does it feel to be called a stupid piece of shit by the stupidest piece of shit alive? I don’t know either. Someon…,feel called stupid piece shit stupidest piece shit alive? don’t know either. someon…
neg,1.0,RT @RachelBitecofer: Lol trump just threw kemp under the bus,lol trump threw kemp bus
pos,1.0,It was great hearing Dr. Fauci speak truth to power &amp; to Dr. Birx. He threw her under the bus for her unwillingness to 2nd-guess Kemp when asked about businesses in GA opening. Fauci said “as a doctor” I’d advise against it. Because it may cause a resurgence. Good answer.,great hearing dr. fauci speak truth power &amp; dr. birx. threw bus unwillingness 2nd-guess kemp asked businesses ga opening. fauci said “as doctor” i’d advise it. may cause resurgence. good answer.
neg,1.0,RT @notcapnamerica: Omg.  Trump left Brian Kemp out to dry like that? 💀,omg. trump left brian kemp dry like that? 💀
neg,1.0,RT @chrislhayes: They're absolutely cutting Kemp off at the knees. You hate to see it.,they're absolutely cutting kemp knees. hate see it.
pos,1.0,"RT @Yamiche: Wow.

President Trump says he told Georgia Gov Kemp he disagrees ""very strongly"" with his decision to reopen portions of the s…","wow. president trump says told georgia gov kemp disagrees ""very strongly"" decision reopen portions s…"
neg,1.0,RT @JessicaTaylor: Trump to Gov. Brian Kemp https://t.co/DGjetdsYym,trump gov. brian kemp
neg,1.0,"RT @mmpadellan: Dr. Fauci says he would tell the idiot Governor Kemp to pump the brakes on his stupid plans, pretty much.

SHORTER: Still-r…","dr. fauci says would tell idiot governor kemp pump brakes stupid plans, pretty much. shorter: still-r…"
pos,1.0,"RT @Fah_Lo_Me: When asked if he disagrees with Kemp’s decision to reopen Georgia, Trump replied with a firm: “Yes??” (In that baby voice he…","asked disagrees kemp’s decision reopen georgia, trump replied firm: “yes??” (in baby voice he…"
pos,1.0,"RT @StephenAtHome: 🎶The devil went down to Georgia, he was lookin' for a soul to steal /
Then he met Brian Kemp and was like “Nope, got you…","🎶the devil went georgia, lookin' soul steal met brian kemp like “nope, got you…"
pos,1.0,"RT @bluestein: @GovKemp Says @GeorgiaDemocrat chair @NikemaWilliams: ""You know it’s a serious failure when Donald Trump ... distances himse…","says chair ""you know it’s serious failure donald trump ... distances himse…"
pos,1.0,"South Carolina senator Lindsey Graham says he agrees with Pres. Trump, saying Georgia governor Brian Kemp is moving to re-open more businesses too quickly during the #COVID19 pandemic. What do you say? Full story is online now: https://t.co/ctbygYbC3V https://t.co/eTvuWQfEd2","south carolina senator lindsey graham says agrees pres. trump, saying georgia governor brian kemp moving re-open businesses quickly covid19 pandemic. say? full story online now:"
pos,1.0,RT @Bakari_Sellers: Context is important. The Presidents swipe at Kemp isn’t a strategy he just still holds animus over the Georgia Senate…,context important. presidents swipe kemp isn’t strategy still holds animus georgia senate…
pos,1.0,"RT @StephenAtHome: 🎶The devil went down to Georgia, he was lookin' for a soul to steal /
Then he met Brian Kemp and was like “Nope, got you…","🎶the devil went georgia, lookin' soul steal met brian kemp like “nope, got you…"
neutral,0.75,"@brody_ts @cnnbrk It’s a lie that Trump disagrees with Kemp. Kemp is following @GOP lead and following the backlash, Trump is trying to disavow it.","it’s lie trump disagrees kemp. kemp following lead following backlash, trump trying disavow it."
neg,1.0,"RT @nycsouthpaw: Ah, the curse of memory. 

AP: https://t.co/WmxHE4ibFV
CNN: https://t.co/lwXtaSkkMx https://t.co/nFS995kphF","ah, curse memory. ap: cnn:"
pos,1.0,"""I told the governor of #Georgia, Brian Kemp, that I disagree strongly with his decision to open certain facilities which are in violation of the phase one guidelines for the incredible people of Georgia,"" the president said. #fox5atl #COVID19 #coronavirus https://t.co/dqAHayaQfG","""i told governor georgia, brian kemp, disagree strongly decision open certain facilities violation phase one guidelines incredible people georgia,"" president said. fox5atl covid19 coronavirus"
neg,1.0,RT @ktbenner: Pres Trump has backed himself into a rhetorical position where he both publicly disagrees with Georgia Gov. Kemp's decision t…,pres trump backed rhetorical position publicly disagrees georgia gov. kemp's decision t…
pos,1.0,"RT @briantylercohen: Gotta love Kemp re-opening Georgia to pander to Trump whose been desperately lobbying states to re-open, only to have…","gotta love kemp re-opening georgia pander trump whose desperately lobbying states re-open, have…"
neg,1.0,RT @GatorPA_: Trump just threw Gov. Kemp under the bus on national television and expresses his disapproval of re-opening businesses. https…,trump threw gov. kemp bus national television expresses disapproval re-opening businesses. https…
neg,1.0,RT @chrislhayes: They're absolutely cutting Kemp off at the knees. You hate to see it.,they're absolutely cutting kemp knees. hate see it.
neg,1.0,RT @ClaritySpeakz: @LegendaryEnergy Trump is selling us out.  He said he does NOT agree with Brian Kemp in opening GA.  He's totally brough…,trump selling us out. said agree brian kemp opening ga. he's totally brough…
neg,1.0,"RT @PalmerReport: Donald Trump's day so far:

- Forces Dr. Redfield to pretend he didn't say what he said
- Throws Georgia Governor Brian K…",donald trump's day far: forces dr. redfield pretend say said throws georgia governor brian k…
