Label,Confidence,Full Tweet,Sanitized Tweet
pos,1.0,"@Observer800 @hcs0618ginny @thedailybeast @joncoopertweets @MichaelDalynyc Governor Brian Kemp of Georgia thinks so. He said they should only get ""essential"" tattoos. Go figure....🤨","governor brian kemp georgia thinks so. said get ""essential"" tattoos. go figure....🤨"
neutral,0.7142857142857143,@E_Ames323 They scared me as a Bulls fan for sure. Kemp actually had a bar here in Seattle for a few yrs that he tended.,scared bulls fan sure. kemp actually bar seattle yrs tended.
neutral,0.7142857142857143,"RT @SportsCenter: 28 years ago, Shawn Kemp put Alton Lister on a poster, stared him down and pointed at him 💪 https://t.co/Ik9qUjip8Z","28 years ago, shawn kemp put alton lister poster, stared pointed 💪"
pos,1.0,RT @BoSnerdley: BREAKING: Kemp to lift statewide shelter-in-place for most Georgians on Friday https://t.co/w3xU2YTWw2,breaking: kemp lift statewide shelter-in-place georgians friday
pos,1.0,"Our Head of Debt &amp; Currency, Andrew Kemp, spoke with @AllySelby @finstd about High Yield Bonds. We’ve upgraded our outlook and while valuations are attractive liquidity and uncertainties add complication. https://t.co/pAZdw4Qvj3 https://t.co/4Hr98ANTn1","head debt currency, andrew kemp, spoke high yield bonds. we’ve upgraded outlook valuations attractive liquidity uncertainties add complication."
neutral,0.7142857142857143,"RT @BleacherReport: The disrespect was wild 💀 

It’s been 28 years since Shawn Kemp demolished Alton Lister with the infamous poster https:…",disrespect wild 💀 it’s 28 years since shawn kemp demolished alton lister infamous poster https:…
pos,0.8571428571428571,My fav dunk of all time #Kemp #ReignMan https://t.co/R3bSF1ZarP,fav dunk time kemp reignman
neutral,0.7142857142857143,RT @Pedal2DMetals: YES!!!  That’s 2 Governors that called out the press yesterday !  Brian Kemp and Ron DeSantis!   @ReporterBlayne is noth…,yes!!! that’s 2 governors called press yesterday brian kemp ron desantis! noth…
pos,0.8571428571428571,"@realDonaldTrump Well it seems WHO now says Sweden with no lockdown is the future model. So they now say OOPS!
23M jobs, 7T dollars and OOPS? 
I think you owe Ryan Kemp an apology in Ga. The model maker experts have been wrong from the beginning.This area is not your forte, fine.","well seems says sweden lockdown future model. say oops! 23m jobs, 7t dollars oops? think owe ryan kemp apology ga. model maker experts wrong beginning.this area forte, fine."
neutral,0.5714285714285714,RT @Jbreadnwater: Kemp really got the whole country thinking that all people from Georgia are as stupid as him 🤦‍♂️,kemp really got whole country thinking people georgia stupid 🤦‍♂️
neutral,0.5714285714285714,RT @CoachZBarbados: The double point by Kemp was everything!!! Lol,double point kemp everything!!! lol
pos,1.0,RT @HillaryHolley4: Hearses from Black-owned funeral homes were lined up in front of GA’s Capitol around the same time Kemp announced he is…,hearses black-owned funeral homes lined front ga’s capitol around time kemp announced is…
neg,1.0,@AngriestRed @Mdavis0805 @ProfessorCrunk again this video was in ILLINOIS. We are currently speaking on Black Georgians. Brian Kemp is indeed responsible for the people who will be impacted because of his poor response. He will be accountable for all the lives disproportionately affected because of his ignorance.,video illinois. currently speaking black georgians. brian kemp indeed responsible people impacted poor response. accountable lives disproportionately affected ignorance.
pos,0.8571428571428571,RT @DearAuntCrabby: Kemp is a fool https://t.co/AvjxZ7dJ98,kemp fool
neutral,0.7142857142857143,"RT @newsone: With Governor Brian Kemp reopening multiple businesses this week in the state, people are calling him out even more for his di…","governor brian kemp reopening multiple businesses week state, people calling even di…"
pos,1.0,RT @HillaryHolley4: Hearses from Black-owned funeral homes were lined up in front of GA’s Capitol around the same time Kemp announced he is…,hearses black-owned funeral homes lined front ga’s capitol around time kemp announced is…
pos,0.8571428571428571,"Steph Curry
Steve Francis  
Scottie 
Shawn Kemp 
Shaq https://t.co/L60di4Dpd6",steph curry steve francis scottie shawn kemp shaq
neutral,0.7142857142857143,"RT @staceyabrams: Georgia is not ready to reopen. 

Kemp’s callous decision defies science, facts and logic. The rush to return to a normal…","georgia ready reopen. kemp’s callous decision defies science, facts logic. rush return normal…"
neg,1.0,"RT @thedailybeast: In Georgia, the COVID-19 death toll currently stands at 871 (as of 4/28).

The models show that Gov. Brian Kemp’s scheme…","georgia, covid-19 death toll currently stands 871 (as 4/28). models show gov. brian kemp’s scheme…"
neutral,0.5714285714285714,The double point by Kemp was everything!!! Lol https://t.co/gJhd2DI0CU,double point kemp everything!!! lol
pos,0.8571428571428571,"@peterschwethelm Shaq
Scottie Pippen
Steve Nash
Shawn Kemp
Sean Elliott",shaq scottie pippen steve nash shawn kemp sean elliott
neutral,0.7142857142857143,"RT @timelesssports_: (1992) 28 years ago today, Shawn Kemp threw down one of the most disrespectful dunks of all-time. https://t.co/LL7opIR…","(1992) 28 years ago today, shawn kemp threw one disrespectful dunks all-time."
pos,0.8571428571428571,Rachel @Maddow stopped just short of saying that Georgia Gov Brian Kemp's lifting of coronavirus restrictions while the death toll rises is *intended* to let it spread mostly in AfricanAmerican communies and reduce the black population. Voter suppression kicked up a lethal notch.,rachel stopped short saying georgia gov brian kemp's lifting coronavirus restrictions death toll rises *intended* let spread mostly africanamerican communies reduce black population. voter suppression kicked lethal notch.
pos,1.0,"A Bouquet of Gardenias by Judy Kemp.
'Judy Kemp writes one very hot story.'
https://t.co/K8nyKwu04k
#MustRead #Explicit #FFM #Ménage #Erotica https://t.co/lth0LT36Xr",bouquet gardenias judy kemp. 'judy kemp writes one hot story.' mustread explicit ffm ménage erotica
neutral,0.7142857142857143,"RT @grahamgreenleaf: ""Australia’s ‘COVIDSafe App’: An experiment in surveillance, trust and law"" https://t.co/PfgBqjayVE is a lengthy analy…","""australia’s ‘covidsafe app’: experiment surveillance, trust law"" lengthy analy…"
neutral,0.7142857142857143,"RT @SportsCenter: 28 years ago, Shawn Kemp put Alton Lister on a poster, stared him down and pointed at him 💪 https://t.co/Ik9qUjip8Z","28 years ago, shawn kemp put alton lister poster, stared pointed 💪"
neutral,0.7142857142857143,"RT @SportsCenter: 28 years ago, Shawn Kemp put Alton Lister on a poster, stared him down and pointed at him 💪 https://t.co/Ik9qUjip8Z","28 years ago, shawn kemp put alton lister poster, stared pointed 💪"
neutral,0.7142857142857143,"RT @SportsCenter: 28 years ago, Shawn Kemp put Alton Lister on a poster, stared him down and pointed at him 💪 https://t.co/Ik9qUjip8Z","28 years ago, shawn kemp put alton lister poster, stared pointed 💪"
neutral,0.7142857142857143,"RT @SportsCenter: 28 years ago, Shawn Kemp put Alton Lister on a poster, stared him down and pointed at him 💪 https://t.co/Ik9qUjip8Z","28 years ago, shawn kemp put alton lister poster, stared pointed 💪"
neutral,0.7142857142857143,"RT @kidpolitics1: I see Big Gretch is trending and I must be a part of this. Also, to all the Michiganders out there, we would like to trad…","see big gretch trending must part this. also, michiganders there, would like trad…"
