Label,Confidence,Full Tweet,Sanitized Tweet
neutral,0.75,"RT @viriyaakarunaa: you're not mean for setting boundaries.
you're not mean for setting boundaries.
you're not mean for setting boundaries.…",mean setting boundaries. mean setting boundaries. mean setting boundaries.…
neg,1.0,Bae &amp; I watching @JeffreeStar – moments after the tacobell TikTok 😂😂😂😂 https://t.co/cr0DdKQDpC,bae &amp; watching – moments tacobell tiktok 😂😂😂😂
pos,1.0,Goign to @tacobell y’al want anything,goign y’al want anything
neg,1.0,@ohemdeegee Any item in tacobell,item tacobell
neutral,0.75,"@TacoBell_Lord Bro, is not the skills, is this gawd dang video editor. I swear DaVinci Resolve is just magical for edition. And I still can't believe such a pro tool is free!","bro, skills, gawd dang video editor. swear davinci resolve magical edition. still can't believe pro tool free!"
neg,1.0,"@_travismcgee @tacobell Went to go get today, twice... line was just too long","went go get today, twice... line long"
neg,1.0,This quarantine is the least amount of @tacobell I’ve had in my life. I miss @tacobell,quarantine least amount i’ve life. miss
neg,1.0,@LegsSnakey @tacobell king shit 👑,king shit 👑
neutral,0.75,"Dear @tacobell the location in Fairmount, NY is a transphobic and a hostile environment. I thought it was a safe space, but we were definitely wrong, I’m saddened by a brand we have come to love and ashamed a woman like that could be a GM. You could and should do better.","dear location fairmount, ny transphobic hostile environment. thought safe space, definitely wrong, i’m saddened brand come love ashamed woman like could gm. could better."
pos,1.0,"RT @BlairMaze: @tacobell I just discovered something truly amazing that you used to make way before I was born, the #BellBurger!?! That sou…","discovered something truly amazing used make way born, bellburger!?! sou…"
pos,1.0,"RT @BlairMaze: @tacobell I just discovered something truly amazing that you used to make way before I was born, the #BellBurger!?! That sou…","discovered something truly amazing used make way born, bellburger!?! sou…"
pos,1.0,"@tacobell I just discovered something truly amazing that you used to make way before I was born, the #BellBurger!?! That sounds like heaven between two buns, please bring it back 🤤 #RunForTheBorder #BringBellBurgerBack 🍔 #LiveMás https://t.co/Xu4kbMy759","discovered something truly amazing used make way born, bellburger!?! sounds like heaven two buns, please bring back 🤤 runfortheborder bringbellburgerback 🍔 livemás"
neutral,0.75,"@SteveTaylor0752 @IBleedRedYellow @tacobell When I went back to have my order corrected, a man had backed up in the drive thru got out of his Truck &amp; was on foot talking to the girl through the window about how they messed his order up. So she must have been on a roll.  I told them run that drive thru tape back &amp; view it.","went back order corrected, man backed drive thru got truck &amp; foot talking girl window messed order up. must roll. told run drive thru tape back &amp; view it."
irrelevant,,@_SombreroCat They came out great! your Editing skills is growing broski!!😁,came great! editing skills growing broski!!😁
irrelevant,,"RT @_SombreroCat: For #screenshotsaturday my first attempt at making Ads for different Social Medias. Wanted to make it 10 seconds long, bu…","screenshotsaturday first attempt making ads different social medias. wanted make 10 seconds long, bu…"
neg,1.0,RT @lilrobitussin: @tacobell SELL EM AT THA GROCERY STORE ALREADY,sell em tha grocery store already
neg,1.0,@diplo @maddecent @DillonFrancis #maddecentdoordash Lemme get some $$$$ so I can get some Doritos locos from @tacobell https://t.co/V8GadysBXJ,maddecentdoordash lemme get $$$$ get doritos locos
neg,1.0,RT @GeraldFarinas: This all started when we defied God and @TacoBell started wrapping tacos with bigger tacos,started defied god started wrapping tacos bigger tacos
neg,1.0,RT @ktwfc: MOTHER2 https://t.co/rnbqmVQEa5,mother2
neg,1.0,"RT @heartIoaf: Oh to be a bee, socialising on a mushroom https://t.co/QrBm78pGQA","oh bee, socialising mushroom"
neg,1.0,"I just went to @tacobell @McDonalds  @Wendys and @BurgerKing within a 20min span......
#coronavirus",went within 20min span...... coronavirus
pos,1.0,@SteveTaylor0752 @IBleedRedYellow @tacobell I normally do.  I made the rookie mistake of not.  I'm still in disbelief but yet not surprised. I called @tacobell corporate office this morning to aware them of the situation.  I'm suppose to be receiving a call from someone in 3 business days.,normally do. made rookie mistake not. i'm still disbelief yet surprised. called corporate office morning aware situation. i'm suppose receiving call someone 3 business days.
neg,1.0,"all of the staff at @tacobell palm beach gardens, florida 33410 northlake blvd need to all be fired, not only did i wait 30 minutes for 2 burritos, but i waited and my order was STILL wrong 🤦🏽‍♂️ #unhappyAF #ShitIsCrazy","staff palm beach gardens, florida 33410 northlake blvd need fired, wait 30 minutes 2 burritos, waited order still wrong 🤦🏽‍♂️ unhappyaf shitiscrazy"
neutral,0.75,@tacobell the triplelupa is a work of art,triplelupa work art
neg,1.0,"RT @kccn1420: 1999年.TacoBell Nodder/w. Box 
for sale@4900yen.
#tacobell
#dog
#nodder
#タコベル
#首振り
#チワワ
#soundsgood 
#下北沢
#shimokitazawa
#通販しま…",1999年.tacobell nodder/w. box saleAT_USER tacobell dog nodder タコベル 首振り チワワ soundsgood 下北沢 shimokitazawa 通販しま…
neg,1.0,@tacobell SELL EM AT THA GROCERY STORE ALREADY https://t.co/dKUiZgW2wq,sell em tha grocery store already
pos,1.0,RT @Bandreescu_: I adore Taco Bell too lol not an add but hopefully they see this. Let’s make something happen 😂😂😂 @tacobell,adore taco bell lol add hopefully see this. let’s make something happen 😂😂😂
neg,1.0,"Hiya, I bid a decuple collection of crackling tacos please. @tacobell","hiya, bid decuple collection crackling tacos please."
neg,1.0,"One day it's my goal to eat @tacobell with @JeffreeStar 

It needs to happen",one day goal eat needs happen
neutral,0.75,"So the @tacobell near us ran out of refried beans. I got a Beefy 5 Layer and a Cheesy Rice and Bean burrito. Y’all. The cashier told me it was better with black beans, and my life is changed. Amazing.","near us ran refried beans. got beefy 5 layer cheesy rice bean burrito. y’all. cashier told better black beans, life changed. amazing."
neg,1.0,@tacobell bring back volcano tacos,bring back volcano tacos
neg,1.0,This all started when we defied God and @TacoBell started wrapping tacos with bigger tacos,started defied god started wrapping tacos bigger tacos
neg,1.0,Bring back the pink starburst slushie @tacobell,bring back pink starburst slushie
pos,1.0,@tacobell I just wanted to say that I love you and I hope you're doing well,wanted say love hope well
neg,1.0,I want tacobell,want tacobell
neg,1.0,@sohmerpaige Manifesting it,manifesting
neg,1.0,@tacobell_mama Same 🙃 one day...,🙃 one day...
pos,1.0,"@McDonalds @BurgerKing @Wendys @tacobell @Arbys @subway and other ff chains, add an option to “tip” at register to a bonus fund for your employees, I am happy to pay more for food. #willpaymoreforfood","ff chains, add option “tip” register bonus fund employees, happy pay food. willpaymoreforfood"
neg,1.0,@_AlwaysAlisha @tacobell Guess I better up my game 😯,guess better game 😯
pos,1.0,"""I’m In constant fear of tracking the infection into my home and affecting my family. But if I don’t come to work I won’t be able to pay my bills.""
- Comment on this petition to @tacobell ↓
https://t.co/KreVmmbzav","""i’m constant fear tracking infection home affecting family. don’t come work won’t able pay bills."" comment petition ↓"
neg,1.0,They’ll buy bread and milk and probably call tacobell... PATHETIC ( We WON 💅🏽💄) https://t.co/3Iock8m0EF,they’ll buy bread milk probably call tacobell... pathetic 💅🏽💄)
neg,1.0,RT @mediavandal: I miss @tacobell https://t.co/L4aWzhwBZ1,miss
neg,1.0,@sohmerpaige Same!! I’ve always wanted to play True American 😭,same!! i’ve always wanted play true american 😭
neg,1.0,"Hey @tacobell, thanks for charging me for an order I only got half of 😊😊",hey thanks charging order got half 😊😊
neg,1.0,One time I ordered $20 of @tacobell and I ate all them shits in one sitting. I’m unstoppable 😌,one time ordered $20 ate shits one sitting. i’m unstoppable 😌
neg,1.0,I miss @tacobell https://t.co/L4aWzhwBZ1,miss
neg,1.0,I want taco dinger @tacobell,want taco dinger
neg,1.0,@Lerthyr Lmao shattering sounds like the day after tacobell,lmao shattering sounds like day tacobell
pos,1.0,Imma black out when it’s safe for us to hit the streets again,imma black it’s safe us hit streets
neg,1.0,Got tacobell as self care ☺️,got tacobell self care ☺️
neg,1.0,@tacobell bring back the Volcano Taco or else,bring back volcano taco else
neg,1.0,@MashuXIII @tacobell Ew lol https://t.co/PtT0umDJGS,ew lol
neg,1.0,@g_low17 @tacobell Dude it’s so frustrating https://t.co/0Va0IxZPuL,dude it’s frustrating
neg,1.0,"Please correct me if I’m wrong here, but at Taco Bell, did they used to have a 5 Dollar Box that had these 4 following items? Because I DO think I remember seeing such, however, when I looked it up today on Google, I did not see ANY results for it whatsoever. So? @tacobell https://t.co/ugtluYYgFI","please correct i’m wrong here, taco bell, used 5 dollar box 4 following items? think remember seeing such, however, looked today google, see results whatsoever. so?"
irrelevant,,"I haven’t had a crunchwrap supreme from @tacobell in so long, it’s a serious dilemma right about now :(","haven’t crunchwrap supreme long, it’s serious dilemma right :("
neg,1.0,Tacobell doesn’t hit when you’re Broke &amp; in college 😔,tacobell doesn’t hit you’re broke &amp; college 😔
neg,1.0,"1999年.TacoBell Nodder/w. Box 
for sale@4900yen.
#tacobell
#dog
#nodder
#タコベル
#首振り
#チワワ
#soundsgood 
#下北沢
#shimokitazawa
#通販します
#お気軽にお問い合わせください
#本日も自粛休業中 
#早く収束しますように 場所: Sounds Good https://t.co/pVtzWIdlYj",1999年.tacobell nodder/w. box saleAT_USER tacobell dog nodder タコベル 首振り チワワ soundsgood 下北沢 shimokitazawa 通販します お気軽にお問い合わせください 本日も自粛休業中 早く収束しますように 場所: sounds good
pos,1.0,When you’re 3 bites into your @tacobell &amp; you can already feel the acid reflux kicking in 😩😫 it burns so good !!,you’re 3 bites &amp; already feel acid reflux kicking 😩😫 burns good !!
irrelevant,,when i get any government 💸 i need to get a full tacobell feast i rlly want it deep down,get government 💸 need get full tacobell feast rlly want deep
neg,1.0,"I'm at @TacoBell in Austin, TX w/ @ashleyhookem https://t.co/NryNZJp4em","i'm austin, tx w/"
neg,1.0,"Alexa, play “Return of the Mack” by Mark Morrison","alexa, play “return mack” mark morrison"
neg,1.0,@tacobell this is just absurd. Such a freaking rip off https://t.co/VgXUIIuAPu,absurd. freaking rip
pos,1.0,"RT @evboogie: Twenty five years ago today, Mobb Deep released The Infamous. https://t.co/iRFYDHlhDQ","twenty five years ago today, mobb deep released infamous."
neg,1.0,@Joey_C523 @tacojohns @tacobell Never had it.,never it.
neg,1.0,"RT @msberry71: practice safe text, use commas.","practice safe text, use commas."
neg,1.0,@brandon__wl @tacobell this means so much to me thank you,means much thank
neg,1.0,"Had @ChipotleTweets today for the first time in months and now I remember why I don't eat Chipotle anymore.  Order was made incorrectly, store was ""out"" of chips, etc.  

I'll just get @tacobell in the future.  At least when they mess up I haven't spent $15","today first time months remember eat chipotle anymore. order made incorrectly, store ""out"" chips, etc. i'll get future. least mess spent $15"
neg,1.0,"RT @tacobellindia: We missed you as much as you missed us! To keep the love going, we have started to deliver from some selected outlets, w…","missed much missed us! keep love going, started deliver selected outlets, w…"
neg,1.0,@noahtcs @tacobell showing this to my manager right now holy shit youre a genius,showing manager right holy shit youre genius
neg,1.0,"@RobSchneider! 
(&amp; the @tacobell on the beach) https://t.co/xziBTPfOMZ",(&amp; beach)
irrelevant,,"RT @lizzirizzobls: next door... also closed at 8:00 p.m. Wound up at @tacobell NO MASKS, but gloves. Wow! @realDonaldTrump Wassup with that…","next door... also closed 8:00 p.m. wound masks, gloves. wow! wassup that…"
neg,1.0,"It's not a bad thing, just different. Kids need attention, or the tsundere would rather cuddle, chores or fatigue, it all factors in.

Gone are the days of late night tacobell and sakuga","bad thing, different. kids need attention, tsundere would rather cuddle, chores fatigue, factors in. gone days late night tacobell sakuga"
pos,1.0,"RT @lizzirizzobls: THE FAST FOOD RESTAURANTS NOT FOLLOWING GUIDELINES. Real nice, @SheriffCitrus NOT THE WORKERS FAULT. I ASKED. @tacobell…","fast food restaurants following guidelines. real nice, workers fault. asked."
neg,1.0,. @tacobell you hurt me,hurt
neutral,0.75,"RT @avajmartin: @tacobell former employee, just quit today, one of ur general managers yelled at me and i was forced to interact with a cus…","former employee, quit today, one ur general managers yelled forced interact cus…"
irrelevant,,i am obsessed with cinnamon twists from @tacobell i have a problem,obsessed cinnamon twists problem
neg,1.0,TacoBell u FAILED me today,tacobell u failed today
neg,1.0,@tacobell you disgust me,disgust
neg,1.0,@laila_uriarte Dude same at trash ass tacobell,dude trash ass tacobell
pos,1.0,@tacobell pizzahut @dominos  #pizza #pizzalover #pizzahut #pizzahut My friends call me #hottamales  Of course I had to represent. Which is your favorite? #hottamale #mask #mask #covid_19 #covid #coronavirus… https://t.co/Z7uEHRVUbw,pizzahut pizza pizzalover pizzahut pizzahut friends call hottamales course represent. favorite? hottamale mask mask covid_19 covid coronavirus…
pos,1.0,Hey @tacobell great customer no service so far.,hey great customer service far.
irrelevant,,Damn.  @tacobell messed up my order again 😐😒,damn. messed order 😐😒
